url,label,LEN,SPECIAL_CHARACTER_COUNT,HAVING_IP_ADDR,HAS_AT,SHORTENING_USED,HTTPS_TOKEN
internationalmetropolis.com/?p=733,good,34,4,0,0,0,0
deafjobs.com/,good,13,2,0,0,0,0
triasbersama.com/melzer/incs/wpp/new/secu/secure/filewords/index.php,bad,68,10,0,0,0,0
aolnews.com/2010/09/29/2010-11-pittsburgh-penguins-preview-a-tougher-new-image/,good,79,14,0,0,0,0
articles.latimes.com/1993-03-30/sports/sp-16899_1_division-ii,good,61,9,0,0,0,0
linkedin.com/pub/walter-baldwin/10/31/17b,good,41,7,0,0,0,0
oaklandjazzfestival.com/event.html,good,34,3,0,0,0,0
upperrockridge.com/schools/,good,27,3,0,0,0,0
absoluteastronomy.com/topics/Albany_Great_Danes_men's_basketball,good,64,4,0,0,0,0
eventective.com/Canada/Quebec/Montreal/,good,39,5,0,0,0,0
a1moviereviews.com/thirst/,good,26,3,0,0,0,0
123.249.79.231:8933/kip4,bad,24,5,0,0,0,0
mp3fundoo.com/bollywood/index.php?action=album&id=530,good,53,8,0,0,0,0
connect.in.com/lesa-lewis/images-lesa-lewis-i-miss-her-lesa-lewis-images-pics-photos-wallpapers--1-576020749598.html,good,116,20,0,0,0,0
jigsaw.com/scid5209612/john_markoff.xhtml,good,41,4,0,0,0,0
noiset.com/christina-aguilera--stripped-1,good,41,6,0,0,1,0
boston.craigslist.org/sob/clt/2687717960.html,good,45,6,0,0,0,0
rootsweb.ancestry.com/~megardin/pittston/pittston.html,good,54,7,0,0,0,0
mcclelland.com/author/results.pperl?authorid=18558,good,50,6,0,0,0,0
czztb.udytqjeafjmgijovfi.ml:44249/welcome/1652573/champion-crawl-royal-sirius-nameless-structure,bad,96,11,0,0,0,0
arawebsite.wordpress.com/,good,25,3,0,0,0,0
dunbarandboardman.blogspot.com/,good,31,3,0,0,1,0
marcusuniforms.com/Cherokee-Rudolph-and-Santa-Cardigan-P3887.aspx,good,65,8,0,0,0,0
onlineradio2.com/listen/Espace_FM_996,good,37,3,0,0,0,0
gadtronik.com/drop/drop/dropbox/spacebox,bad,40,5,0,0,0,0
leeper.ch.cam.ac.uk/FamilyTree/mainindex.htm,good,44,7,0,0,0,0
montaguemillennium.com/familyresearch/References.htm,good,52,4,0,0,0,0
adrianalima.com/gallery,good,23,2,0,0,0,0
city-data.com/forum/northern-virginia/1088057-butcher-shops.html,good,64,9,0,0,0,0
rottentomatoes.com/celebrity/robert_culp/,good,41,4,0,0,0,0
japanupdate.com/?id=8608,good,24,4,0,0,0,0
berryescott.co.uk/wp-admin/js/PJ/aeb86e6fe3f571749c28630f279d206a/,bad,66,8,0,0,1,0
cambuihostel.com/plugins/content/cha/99bd539cb91b47482b128711499f8051,bad,69,5,0,0,0,0
interment.net/data/us/wa/stevens/pia/pia_mission.htm,good,52,8,0,0,0,0
gillyperkygoth.deviantart.com/,good,30,3,0,0,1,0
articles.latimes.com/2010/oct/10/local/la-me-humanists-20101010,good,63,10,0,0,0,0
